0553378767:0195146018,1 1:0.0 2:5.0
0195146018:0060958219,1 1:0.0 2:5.0
0195146018:0062515659,1 1:0.0 2:4.75
0486401588:0486268780,1 1:0.333333333333 2:4.5
0486272737:0486268780,1 1:0.4 2:4.75
0486285537:0486268780,1 1:0.363636363636 2:4.5
0486264661:0486268780,1 1:0.4 2:3.5
1861007418:1861007329,1 1:0.153846153846 2:4.25
1861007191:1861007418,1 1:0.125 2:4.25
1861007418:1861007868,1 1:0.1 2:4.25
0072129484:0782128815,1 1:0.0 2:2.5
0782128815:0782128955,1 1:0.1 2:2.5
0735618674:0782128815,1 1:0.285714285714 2:4.75
0140437983:0375752285,1 1:0.111111111111 2:4.5
0140437983:0306804646,1 1:0.0 2:4.25
0140437983:1879664178,1 1:0.0 2:4.5
0671892878:0140437983,1 1:0.0 2:4.5
0380651939:0826449379,1 1:0.0 2:2.5
0141301163:0826449379,1 1:0.0 2:2.25
0440418321:0826449379,1 1:0.0 2:2.25
0689845332:0826449379,1 1:0.0 2:1.75
0439284880:0439420717,1 1:0.25 2:0.0
043924238X:0439420717,1 1:0.25 2:2.5
0439284864:0439420717,1 1:0.3 2:0.0
0439188814:0439420717,1 1:0.166666666667 2:0.0
B00004W1WI:B000003QL7,1 1:0.333333333333 2:2.0
B00004W1WK:B00005QK46,1 1:0.0 2:4.0
B00004W1WK:B0000072LP,1 1:0.0 2:4.5
0687069157:0687054532,1 1:0.0 2:4.5
0687054532:0764422979,1 1:0.0 2:3.75
0687045479:0687054532,1 1:0.0 2:4.5
0687054532:0687083737,1 1:0.0 2:4.0
0613100093:0064401103,1 1:0.0625 2:5.0
0613100093:0064401111,1 1:0.05 2:4.75
0064405478:0613100093,1 1:0.157894736842 2:5.0
0613100093:0064405451,1 1:0.130434782609 2:4.75
B000002O8L:B000002Q86,1 1:0.0 2:4.75
B00005NEFK:B00005A3HU,1 1:0.0 2:4.75
0553278274:0805068031,1 1:0.0 2:4.5
0465089828:0805068031,1 1:0.0 2:4.25
0805068031:0345446070,1 1:0.0 2:4.5
0140159096:0805068031,1 1:0.0 2:3.75
0393971694:0393090906,1 1:0.1 2:4.75
0393971694:0195122321,1 1:0.166666666667 2:2.5
0136081924:0393971694,1 1:0.166666666667 2:2.5
0393971694:039395272X,1 1:0.25 2:4.75
0130428205:0963917331,1 1:0.117647058824 2:2.0
0130428205:032401600X,1 1:0.0666666666667 2:0.0
0689850271:0689846088,1 1:0.375 2:1.5
0689848218:0689846088,1 1:0.333333333333 2:4.0
0689846088:0689848226,1 1:0.181818181818 2:1.5
0689851634:0689846088,1 1:0.0 2:4.0
1930288034:0026879077,1 1:0.04 2:1.5
1930288018:0026879077,1 1:0.04 2:2.5
1576906779:0026879077,1 1:0.0769230769231 2:2.5
0026879077:193028800X,1 1:0.04 2:1.0
0393037622:0192802674,1 1:0.0 2:4.25
0393319806:0393037622,1 1:0.0 2:3.5
157912156X:0393037622,1 1:0.0 2:4.0
0933029012:0810114275,1 1:0.0 2:4.5
0810114275:157230376X,1 1:0.0 2:5.0
157224044X:0810114275,1 1:0.1 2:5.0
0829409378:0810114275,1 1:0.0 2:5.0
0333963415:0415925398,1 1:0.0 2:2.0
0415925398:069100840X,1 1:0.0 2:0.0
0521627249:0415925398,1 1:0.0 2:1.75
1879181940:157281196X,1 1:0.0 2:4.75
1879181827:157281196X,1 1:0.0 2:4.75
157281196X:1879181894,1 1:0.0 2:4.5
0375803394:0061066249,1 1:0.0 2:4.5
0786863919:0786885270,1 1:0.111111111111 2:4.5
1569472424:0312982178,1 1:0.0 2:4.5
0874850037:0688100120,1 1:0.0 2:4.0
0874850037:0060958138,1 1:0.0 2:4.75
0874850037:0966187202,1 1:0.111111111111 2:4.25
0874850037:0688162193,1 1:0.125 2:4.5
6304286961:0679726225,1 1:0.0 2:4.25
6304286961:6305603847,1 1:0.142857142857 2:4.25
6304286961:0679734627,1 1:0.2 2:4.25
0811726371:1403303193,1 1:0.166666666667 2:3.75
0811726371:0962622826,1 1:0.142857142857 2:4.25
0811726371:1401086276,1 1:0.0 2:3.75
0140430407:0553211439,1 1:0.0 2:4.25
0451527569:0140430407,1 1:0.0 2:4.75
0553211587:0140430407,1 1:0.166666666667 2:4.5
0140430407:0140390308,1 1:0.0 2:4.5
B0000033XO:B000063W82,1 1:0.0 2:4.75
B000063W82:B0000033XL,1 1:0.0909090909091 2:4.75
B00005JKTY:B000063W82,1 1:0.266666666667 2:4.5
0631187855:0631213287,1 1:0.333333333333 2:4.75
1557864497:0631213287,1 1:0.214285714286 2:5.0
0631213287:0631192581,1 1:0.333333333333 2:5.0
0415157528:0415224373,1 1:0.25 2:3.75
0415157528:0781802822,1 1:0.0 2:3.5
0764110209:0415157528,1 1:0.166666666667 2:4.25
0071360387:0781719682,1 1:0.0 2:2.25
078171432X:0781719682,1 1:0.454545454545 2:0.0
0781719682:081517148X,1 1:0.0 2:2.5
0696211831:1558321098,1 1:0.181818181818 2:4.5
1558321098:0811831973,1 1:0.0 2:4.75
0696210290:1558321098,1 1:0.125 2:4.75
0761119795:1558321098,1 1:0.0 2:4.5
0425157547:0671727737,1 1:0.0 2:4.25
0425138232:0671727737,1 1:0.0 2:4.5
042517607X:0671727737,1 1:0.0 2:4.25
0425148289:0671727737,1 1:0.0 2:4.5
0807009199:037575380X,1 1:0.0 2:4.75
0393956008:037575380X,1 1:0.0 2:4.5
037575380X:048628512X,1 1:0.0 2:4.25
1566913810:1566914027,1 1:0.285714285714 2:1.75
1566913810:0881504548,1 1:0.0 2:1.75
1566913810:0762701641,1 1:0.0 2:1.75
039572774X:0844204625,1 1:0.214285714286 2:4.0
039572774X:0590381571,1 1:0.2 2:4.5
039572774X:0844257796,1 1:0.230769230769 2:4.25
0310485002:0310250005,1 1:0.25 2:4.0
0310485002:0830822763,1 1:0.0 2:4.25
0310485002:1576832201,1 1:0.0 2:4.5
0310485002:0830819711,1 1:0.0 2:4.25
B000089YB5:B00005OW65,1 1:0.166666666667 2:2.5
042515517X:0425176312,1 1:0.111111111111 2:4.0
042515517X:0671725319,1 1:0.0 2:4.5
042515517X:0425184250,1 1:0.0 2:4.25
0071402306:076455364X,1 1:0.2 2:2.25
0071402306:0966889924,1 1:0.25 2:2.25
0471394815:0071402306,1 1:0.181818181818 2:2.0
0595169252:0071402306,1 1:0.0588235294118 2:0.0
0743509315:0671047329,1 1:0.0 2:3.75
0671023187:0743509315,1 1:0.0 2:4.0
0875847471:0787958743,1 1:0.0 2:2.25
0787955965:0787958743,1 1:0.214285714286 2:0.0
0970825307:1858685486,1 1:0.0 2:4.5
0890190518:089019033X,1 1:0.0 2:2.5
089019078X:089019033X,1 1:0.0909090909091 2:2.5
0890190372:089019033X,1 1:0.0 2:2.5
0820451576:0814788076,1 1:0.0 2:2.25
0820451576:1573928895,1 1:0.0 2:2.0
0553580671:055358250X,1 1:0.0 2:4.25
0553571923:055358250X,1 1:0.0 2:4.0
038548125X:0762411090,1 1:0.5 2:4.25
0762411147:038548125X,1 1:0.0 2:4.5
038548125X:0811806197,1 1:0.333333333333 2:4.0
0940780518:0838531377,1 1:0.1 2:4.5
156053429X:0838531377,1 1:0.25 2:4.25
0838531377:0071375430,1 1:0.0 2:4.25
0838531377:0891283463,1 1:0.0 2:2.0
031213570X:0684868008,1 1:0.0909090909091 2:2.0
0684868008:1574231596,1 1:0.111111111111 2:2.0
0316778001:0471346608,1 1:0.2 2:4.5
0764565168:0471346608,1 1:0.0 2:4.75
0761121323:0471346608,1 1:0.0 2:4.0
B000056PNY:B00004ZEIC,1 1:0.0 2:4.25
B000056PNY:B000002IO7,1 1:0.0 2:4.5
B000002ILG:B000056PNY,1 1:0.0 2:4.25
0393047571:0007154615,1 1:0.0 2:3.5
0140445684:0140445757,1 1:0.0 2:4.5
0879757051:0140445684,1 1:0.0 2:4.0
0140445684:0553585975,1 1:0.0 2:4.25
1573921394:0140445684,1 1:0.0 2:3.75
0590464299:0590464272,1 1:0.25 2:5.0
0590006371:0590464272,1 1:0.0 2:2.5
059046342X:0590464272,1 1:0.0 2:5.0
0849943221:0849942993,1 1:0.0 2:4.5
0688060676:0671792474,1 1:0.0 2:4.75
0440404959:0688060676,1 1:0.0 2:4.5
0688060676:0688147402,1 1:0.0 2:5.0
0688060676:0689808925,1 1:0.0 2:5.0
0062733818:0071382305,1 1:0.142857142857 2:4.5
0062733818:0609807609,1 1:0.047619047619 2:4.5
0062733818:0312109482,1 1:0.4 2:4.25
B000002KG8:B000002KFD,1 1:0.0 2:4.75
B000002KG8:B000002LHW,1 1:0.0 2:5.0
B000002KG8:B00000CKZH,1 1:0.0 2:4.75
B000002KDM:B000002KG8,1 1:0.0 2:5.0
0312871880:0812590236,1 1:0.25 2:3.5
0312871880:0812577701,1 1:0.25 2:4.25
0312871880:0812590244,1 1:0.125 2:3.75
0312871880:0812550773,1 1:0.125 2:3.75
0878301534:0943955777,1 1:0.4 2:4.5
0965442330:0878301534,1 1:0.0 2:4.5
0060514558:0767905288,1 1:0.0 2:3.25
078795893X:0743212347,1 1:0.166666666667 2:4.75
078795893X:0684834316,1 1:0.125 2:5.0
078795893X:0875849369,1 1:0.0 2:5.0
1570662592:1579473024,1 1:0.0 2:1.75
0743504089:0743504097,1 1:0.111111111111 2:5.0
0743504097:0743500393,1 1:0.333333333333 2:5.0
0743506359:0743504097,1 1:0.333333333333 2:5.0
0743507924:0743504097,1 1:0.4 2:2.5
B00003Q5AH:B0000029FC,1 1:0.0 2:4.5
B00004T45R:B00003Q5AH,1 1:0.166666666667 2:2.0
B00008QSA5:B00003Q5AH,1 1:0.0 2:4.25
B00008QSA6:B00003Q5AH,1 1:0.0 2:4.25
B00003Q5AI:B000000HRU,1 1:0.0 2:4.5
B000000HQJ:B00003Q5AI,1 1:0.0 2:4.5
0781433525:0781438055,1 1:0.0 2:4.5
0781433525:1885904177,1 1:0.0 2:5.0
0781433525:0891077197,1 1:0.0 2:4.75
B00008BX1C:B00003Q5AA,1 1:0.0 2:4.5
B000002N96:B00003Q5AA,1 1:0.2 2:4.5
0873376153:0816044279,1 1:0.0 2:5.0
0452283426:0873376153,1 1:0.230769230769 2:4.5
0140175962:0452011604,1 1:0.0 2:4.0
0452011604:0140445587,1 1:0.0 2:3.0
0195130766:0452011604,1 1:0.0 2:3.25
1577941292:1577941950,1 1:0.0 2:5.0
0446676780:1886110867,1 1:0.0 2:3.0
1886110867:0822313189,1 1:0.0 2:3.5
0590138596:0590108859,1 1:0.0 2:4.75
0590216872:0590108859,1 1:0.25 2:4.75
0691025304:1581127723,1 1:0.0 2:4.5
0878915559:1581127723,1 1:0.166666666667 2:2.5
0070540187:1581127723,1 1:0.0909090909091 2:4.5
0806626062:080664267X,1 1:0.0 2:2.0
0806629843:0806626062,1 1:0.0625 2:4.0
0806624302:0806626062,1 1:0.363636363636 2:4.25
0886778905:0812550749,1 1:0.0 2:3.75
067187750X:0812550749,1 1:0.0 2:4.25
0756400619:0812550749,1 1:0.0 2:3.75
0756401011:0812550749,1 1:0.0 2:3.75
B00000IC83:B00007K020,1 1:0.125 2:4.25
0141001844:0140272100,1 1:0.0 2:3.75
0140244824:0140272100,1 1:0.0 2:3.5
0609610902:0939343347,1 1:0.0769230769231 2:2.0
0140276831:0939343347,1 1:0.142857142857 2:2.5
014025093X:0939343347,1 1:0.0 2:2.5
0939343320:0939343347,1 1:0.0 2:0.0
0804119368:0804118558,1 1:0.266666666667 2:4.0
0804119368:0804117934,1 1:0.357142857143 2:4.25
0804115621:0804119368,1 1:0.266666666667 2:3.75
0804119368:0345440021,1 1:0.0 2:3.75
0810939770:068482986X,1 1:0.0 2:2.5
0810939770:0316082651,1 1:0.0 2:5.0
0965853411:0895296586,1 1:0.0 2:4.25
1556432283:0895296586,1 1:0.0 2:3.75
0226309045:0671640984,1 1:0.0 2:4.25
0931892813:0931892333,1 1:0.0 2:1.5
0385332998:0385323905,1 1:0.0 2:3.5
0385334184:0385332998,1 1:0.0 2:3.25
1573228311:0385332998,1 1:0.0 2:4.0
0471394327:0743205839,1 1:0.0 2:4.5
0130676144:0130897930,1 1:0.0 2:4.5
0130676144:0131422464,1 1:0.0 2:4.75
0130676144:0072226846,1 1:0.0 2:4.5
0064471209:0064470954,1 1:0.153846153846 2:4.5
0064470652:0064470954,1 1:0.166666666667 2:4.75
0064408183:0064470954,1 1:0.0769230769231 2:4.25
0064470954:0064406970,1 1:0.0 2:4.5
0415276322:0415107733,1 1:0.166666666667 2:2.25
0838514944:0071360387,1 1:0.0714285714286 2:4.25
1886940827:1858600073,1 1:0.0 2:4.75
0963277642:1858600073,1 1:0.0 2:2.5
0963277677:1858600073,1 1:0.0 2:4.75
0963277634:1858600073,1 1:0.0 2:4.25
1581822340:0299183106,1 1:0.0 2:2.25
0782009980:B00000IC8D,1 1:0.153846153846 2:3.75
B00000IC8H:6304153066,1 1:0.111111111111 2:4.0
B00000IC8H:B00005RT3P,1 1:0.0 2:3.75
B00005ASSD:B00000IC8H,1 1:0.0 2:4.0
B00000IC8H:B00005NBCI,1 1:0.0 2:3.75
6300213749:B00005JKCB,1 1:0.0 2:4.5
1571324275:B00000IC8N,1 1:0.5 2:5.0
1571325778:B00000IC8N,1 1:0.111111111111 2:4.25
0465024769:0609808451,1 1:0.111111111111 2:3.75
0465024769:1853836133,1 1:0.222222222222 2:1.75
0684853787:0465024769,1 1:0.0 2:3.5
0060195207:0399528431,1 1:0.0 2:4.75
1931615039:0060195207,1 1:0.0 2:4.75
0936785950:0060195207,1 1:0.0 2:4.75
0394700953:0674292111,1 1:0.222222222222 2:2.25
0300084552:0674292111,1 1:0.0 2:2.0
0156512696:0674292111,1 1:0.1 2:2.5
6303454488:B000035P7X,1 1:0.272727272727 2:4.25
6303454488:0743228278,1 1:0.0 2:4.0
0768907152:0764176293,1 1:0.111111111111 2:4.5
0967759404:0768907152,1 1:0.0526315789474 2:4.75
1573225517:1573229326,1 1:0.0 2:3.75
1573229326:1573228583,1 1:0.0 2:3.5
1573226882:1573229326,1 1:0.0 2:3.75
0714829919:041523008X,1 1:0.222222222222 2:1.5
0130851337:041523008X,1 1:0.222222222222 2:1.5
0671562711:0618056769,1 1:0.1 2:4.5
0446676136:0671562711,1 1:0.0 2:4.5
0671562711:1558588035,1 1:0.0 2:4.75
0618056777:0671562711,1 1:0.0 2:4.75
0847821943:014012523X,1 1:0.0 2:5.0
B00009MGO4:1570718903,1 1:0.0 2:4.5
0916990419:1555520529,1 1:0.0 2:2.25
0916990338:0916990419,1 1:0.0 2:2.5
091699032X:0916990419,1 1:0.0 2:2.5
1555520294:0916990419,1 1:0.0 2:1.75
0883680947:0800785991,1 1:0.1 2:4.75
0385029306:0883680947,1 1:0.125 2:4.5
0883680947:0385030096,1 1:0.0 2:4.75
0385036434:0883680947,1 1:0.0 2:4.5
0873376129:1572481617,1 1:0.0833333333333 2:4.5
0873376129:0761536280,1 1:0.2 2:4.5
0873376129:0314232087,1 1:0.0666666666667 2:3.75
0954017307:1584230169,1 1:0.0 2:2.0
1584230045:1584230169,1 1:0.0 2:4.25
0811830241:1584230169,1 1:0.0 2:4.25
0809237873:0944448143,1 1:0.0 2:2.5
0963192302:0944448143,1 1:0.0 2:2.5
1570715882:0944448143,1 1:0.0 2:2.5
0865532052:0944448143,1 1:0.0 2:0.0
0789729768:1588800334,1 1:0.136363636364 2:3.5
0197261000:014012523X,1 1:0.0 2:2.5
0786706759:0743227433,1 1:0.0 2:4.0
0786709901:0743227433,1 1:0.0 2:4.25
1892041162:1892041413,1 1:0.0 2:3.75
0679408045:1892041413,1 1:0.333333333333 2:4.0
007138166X:0658007580,1 1:0.214285714286 2:3.75
0071380612:0658007580,1 1:0.307692307692 2:3.75
0071381635:0658007580,1 1:0.375 2:4.25
0486291138:0658007580,1 1:0.0909090909091 2:4.25
0849937140:0849962676,1 1:0.0769230769231 2:4.5
0785270442:0849962676,1 1:0.0 2:4.0
0849962676:0802436366,1 1:0.0 2:4.25
0842378960:0849962676,1 1:0.0 2:4.0
0791041131:0486264645,1 1:0.0 2:2.0
0440413281:0440415713,1 1:0.0 2:4.75
0440410665:0440415713,1 1:0.142857142857 2:5.0
0375810870:0440415713,1 1:0.0 2:2.5
1882413024:1882413342,1 1:0.0 2:4.75
1882413024:0935626360,1 1:0.0 2:4.75
1882413024:1882413768,1 1:0.0 2:4.75
1882413024:0446672351,1 1:0.0 2:4.75
1893441695:1893441377,1 1:0.0 2:2.0
1893441695:1893441369,1 1:0.294117647059 2:2.0
1893441695:1893441350,1 1:0.2 2:2.0
0683306189:1893441695,1 1:0.125 2:4.5
1571882588:0963310917,1 1:0.0625 2:4.75
1878175777:1571882588,1 1:0.0 2:4.75
0769218261:0757995284,1 1:0.0 2:2.25
0769218261:0769296521,1 1:0.4 2:4.75
0769218261:0897240308,1 1:0.5 2:4.75
B00000JNNE:B000003ONP,1 1:0.0 2:5.0
B00005R5L9:B000003ONP,1 1:0.0 2:5.0
B0000023IJ:B000003ONP,1 1:0.2 2:4.75
014023778X:0140280634,1 1:0.142857142857 2:4.5
014023778X:1560254580,1 1:0.0 2:5.0
0446672351:014023778X,1 1:0.0 2:4.75
0962096733:0439145449,1 1:0.0 2:4.75
0962096733:0971412928,1 1:0.0 2:4.5
0962096733:0971412901,1 1:0.0 2:4.25
0962096733:159160236X,1 1:0.0 2:4.5
0793811031:0793807506,1 1:0.2 2:3.25
0553346156:0793807506,1 1:0.0 2:4.25
B00003G1OK:B000000HF0,1 1:0.0 2:4.75
B000000HF0:B00004ZDR3,1 1:0.0 2:4.75
0312862156:0312867794,1 1:0.142857142857 2:3.75
0312862156:0380786230,1 1:0.0 2:4.25
0446389862:0761512764,1 1:0.0 2:4.25
0446389862:0738206946,1 1:0.0 2:4.5
0865714487:0446389862,1 1:0.0 2:4.25
0446389862:0609805851,1 1:0.0 2:4.5
6301045734:0790729377,1 1:0.0 2:4.75
0811214044:6301045734,1 1:0.5 2:4.25
0811810984:0811806790,1 1:0.3 2:4.5
0811818276:0811810984,1 1:0.166666666667 2:4.5
0811813215:0811810984,1 1:0.133333333333 2:2.0
0811818020:0811810984,1 1:0.157894736842 2:4.5
B0000262WI:B00002EPJH,1 1:0.111111111111 2:4.5
B0000262WI:B0000247YQ,1 1:0.2 2:4.75
B0000262WI:B0000261GX,1 1:0.0 2:4.75
B0000262WI:B000024SN9,1 1:0.0 2:4.5
6301967917:B000063UR5,1 1:0.0 2:4.25
6301967917:B00008LDNZ,1 1:0.0 2:4.5
006440823X:0064410323,1 1:0.0 2:4.5
006440823X:0064406962,1 1:0.0 2:4.5
0064405176:006440823X,1 1:0.0 2:4.5
0140303588:0027348407,1 1:0.0 2:4.0
0525304002:0027348407,1 1:0.0 2:4.0
0027348407:0440486815,1 1:0.0 2:4.0
0525392440:0027348407,1 1:0.0 2:3.25
8495273519:3822860476,1 1:0.0 2:3.5
3775712143:3822860476,1 1:0.0588235294118 2:4.25
8887029180:3822860476,1 1:0.0 2:3.25
1885254008:3822860476,1 1:0.0 2:4.25
0439406412:0439406420,1 1:0.375 2:2.5
0439406420:0439338670,1 1:0.272727272727 2:5.0
0072133791:0789712806,1 1:0.0625 2:4.25
0789712806:078972670X,1 1:0.307692307692 2:3.25
0875421180:0875421210,1 1:0.0 2:4.5
0875421229:0875421210,1 1:0.0 2:4.5
0875421210:0875421261,1 1:0.0 2:4.25
0875421210:0875421849,1 1:0.0 2:4.5
0873417909:0762409908,1 1:0.0666666666667 2:2.25
0873417909:0965303926,1 1:0.166666666667 2:4.75
0374311447:0689807481,1 1:0.0 2:4.75
0374311447:0374311013,1 1:0.142857142857 2:4.75
0374311447:0374311145,1 1:0.333333333333 2:4.5
0374311447:0374311455,1 1:0.125 2:4.75
0064440451:0064441431,1 1:0.3 2:4.5
0064440451:0064440737,1 1:0.0625 2:5.0
0064440028:0064440451,1 1:0.0 2:4.75
0064442705:0064440451,1 1:0.294117647059 2:4.75
0029148510:0806132809,1 1:0.0 2:3.25
0029148510:0140048979,1 1:0.142857142857 2:4.0
0029148510:0684813211,1 1:0.0 2:3.75
0029148510:0465007384,1 1:0.125 2:2.75
0814766471:041514759X,1 1:0.0 2:2.5
0471326054:0471061808,1 1:0.166666666667 2:4.75
0471061808:1580622240,1 1:0.0909090909091 2:4.75
0070511136:0471061808,1 1:0.2 2:4.75
093314993X:0933149964,1 1:0.0 2:4.25
093314993X:1843100606,1 1:0.125 2:2.25
1890627240:093314993X,1 1:0.0 2:4.5
093314993X:1885477368,1 1:0.1875 2:4.75
046502968X:0029131693,1 1:0.0 2:4.25
046502968X:0520021568,1 1:0.125 2:2.25
1572702567:0694524980,1 1:0.0 2:3.5
157660019X:0028642406,1 1:0.111111111111 2:5.0
1931682046:193168202X,1 1:0.0 2:2.5
1931682089:193168202X,1 1:0.0 2:4.5
1929496079:193168202X,1 1:0.0 2:2.5
0883686554:193168202X,1 1:0.0 2:5.0
1584851406:1584856599,1 1:0.25 2:4.75
1584851406:1584851945,1 1:0.0 2:4.5
1584851406:1584856602,1 1:0.0 2:4.75
1584851406:1584853638,1 1:0.2 2:4.5
0786807695:014131088X,1 1:0.0 2:4.5
0262032937:020140009X,1 1:0.166666666667 2:4.5
0201558025:020140009X,1 1:0.0 2:4.5
020140009X:053494728X,1 1:0.307692307692 2:4.75
0716710455:020140009X,1 1:0.0 2:5.0
B00000JL3T:B00003CXCZ,1 1:0.0 2:4.5
1558686371:0916562514,1 1:0.25 2:5.0
0896930777:1575849100,1 1:0.111111111111 2:5.0
1575849100:156476317X,1 1:0.1 2:5.0
1575849100:0694003611,1 1:0.0 2:4.75
0385504209:0671027387,1 1:0.0 2:3.75
0385504209:0440136482,1 1:0.0 2:3.5
0967488419:0761908226,1 1:0.4 2:1.75
0967488419:1932159002,1 1:0.142857142857 2:0.0
0967488419:047138819X,1 1:0.0 2:2.25
0813340187:0520205154,1 1:0.0 2:4.5
0521525942:0520205154,1 1:0.0 2:2.5
042512911X:042518174X,1 1:0.0 2:4.75
042512911X:0425141403,1 1:0.0 2:4.75
042512911X:0425159108,1 1:0.142857142857 2:4.75
042512911X:0425181812,1 1:0.25 2:4.75
0679732268:0679736530,1 1:0.0 2:4.5
0679736530:0394701844,1 1:0.25 2:4.25
0679732179:0679736530,1 1:0.0 2:4.5
0679736530:0394702824,1 1:0.25 2:4.5
0195019636:0073032891,1 1:0.166666666667 2:4.0
0195019636:0631202927,1 1:0.142857142857 2:3.25
0380732734:0380808633,1 1:0.3125 2:3.5
0380732734:0380725797,1 1:0.3125 2:3.75
068483183X:0195039343,1 1:0.0 2:4.5
1572305258:0195039343,1 1:0.0 2:5.0
0375701478:0195039343,1 1:0.0 2:4.75
0395500753:1893554627,1 1:0.0 2:4.5
B000000WIW:B000000WJV,1 1:0.0 2:4.5
B00000GBL0:B000000WIW,1 1:0.428571428571 2:4.25
B00005176I:B000000WIW,1 1:0.1 2:4.5
B000000WJY:B000000WIW,1 1:0.0 2:4.75
0802806929:006063796X,1 1:0.0909090909091 2:4.0
0873525825:0874212200,1 1:0.0 2:2.5
B000000WZI:B000002NH0,1 1:0.0 2:4.75
B000002NH0:B000002LQJ,1 1:0.0 2:4.5
B000002NH0:B000002LJD,1 1:0.0 2:4.5
B000068GAS:B00006HIAC,1 1:0.272727272727 2:5.0
0824604229:0807403563,1 1:0.0 2:4.75
0807403563:1580230814,1 1:0.0 2:4.75
